STORE CODE,ZONE,STATE,CITY,FORMAT  Type,FORMATE,STORE NAME,SAP Name of Store,NOC Store name
TO09,North,Uttar Pradesh,Faizabad,Trends,Fitch,"Civil Lines, Faizabad",RRL Trends Faizabad,Faizabad Civil Lines
TLU7,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Karim Ganj, Hardoi Road",RRL Trends Lucknow Karimganj,Lucknow Karim Ganj Hardoi Rd
TLK1,North,Uttar Pradesh,Moradabad,Trends,Fitch,"Kasturi Complex, Kanth Road",RRL Trends Moradabad,Moradabad Kanth Road
TJX4,North,Uttar Pradesh,Deoria,Trends,Fitch,"Rudrapur Tiraha, Deoria",RRL Trends Deoria,Deoria Rudrapur Tiraha
TJX3,North,Uttar Pradesh,Sambhal,Trends,Fitch,Bahjoi Road,RRL Trends Sambhal,Sambhal Bahjoi Road
TXP6,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Viraj Khand, Gomti Nagar",RRL Trends Gomti Nagar,Lucknow Viraj Khand Gomti Nagar
TJC4,North,Uttar Pradesh,Lucknow,Trends,Fitch,Vikas Nagar,TRENDS LUCKNOW VIKAS NAGAR,Lucknow Vikas Nagar Near V Mart
TIR5,North,Uttar Pradesh,Kasganj,Trends,Fitch,"Trends Kasganj, Soron Gate",RRL Trends Kasganj,Kasganj Soron Gate
TIR3,North,Uttar Pradesh,Lucknow,Trends,Fitch,"SGPGI, Raebareilly Road",RRL Trends Lucknow Raebareilly,Lucknow SGPGI Raebareilly Road
TIQ8,North,Uttar Pradesh,Balrampur,Trends,Fitch,Trends Titu Cinema Compund,RRL Trends Balarampur,Balrampur Titu Cinema Compund
TI75,North,Uttar Pradesh,Mainpuri,Trends,Fitch,"Station Road, Mainpuri",RRL Trends Manipuri,Manipuri Station Rd
TI72,North,Uttarakhand,Roorkee,Trends,Fitch,"Haridwar Road, Roorkee",RRL Trends Roorkee,Roorkee Civil Lines
TG58,North,Uttar Pradesh,Ballia,Trends,Fitch,Vijay Cinema Road,Ballia Vijay Cine Rd,Ballia Vijay Cine Rd
TG56,North,Uttar Pradesh,Hapur,Trends,Fitch,"Freeganj, Railway Road",RRL Trends Hapur UP,Hapur FreeGanj
TEA3,North,Uttarakhand,Dehradun,Trends,Fitch,"Mothrowala Chowk, Haridwar Bypass",RRL Trends Dehradun,Dehradun Mothrowala
TDX9,North,Uttar Pradesh,Maharajganj,Trends,Fitch,Shastri Nagar,RRL Trends Maharajganj,Mahrajgnj PharendaRd
TDX8,North,Uttar Pradesh,Gorakhpur,Trends,Fitch,"Shahpur, Medical College Road",RRL Trends Gorakhpur Shahpur,Gorakhpur Shahpur Rd
TDF9,North,Uttar Pradesh,Basti,Trends,Fitch,Gandhi Nagar,RRL Trends Basti,Basti Gandhi Nagar
T11D,North,Uttar Pradesh,Meerut,Trends,Fitch,"Trends Shiv Chowk, Kanker Khera, Meerut",RRL Trends Kankerkhera Shiv Ch,Meerut Shiv Chowk Kanker Khera Meerut
TDE7,North,Uttar Pradesh,Orai,Trends,Fitch,Trends Ambedkar Chauraha,RRL Trends ORAI,Orai Ambedkar Chauraha
TZ89,North,Uttar Pradesh,Etah,Trends,Fitch,"GT Road, Etah",RRL Trends ETAH,Etah GT Road
TZ31,North,Uttar Pradesh,Meerut,Trends,Fitch,"Mawana Road, Ganga Nagar",RRL Trends Meerut,Meerut Mawana Road Ganga Nagar
TY32,North,Uttar Pradesh,Fatehpur,Trends,Fitch,Hariharganj,RRL TRENDS FATEHPUR,Fatehpur Hariharganj
TX97,North,Uttar Pradesh,Lucknow,Trends,Fitch,Trends Emerald Mall,RRL Trends Lucknow Emerald Mal,Lucknow Emerald Mall
TCS9,North,Uttar Pradesh,Agra,Trends,Fitch,MG Road - Sai Ka Takiya,RRL Trends AGRA,Agra MG Road Sai Ka Takiya
TCR0,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Bhoothnath, Faizabad Road",RRL Trends Lucknow,Lucknow Bhoothnath
TCN4,North,Uttar Pradesh,Azamgarh,Trends,Fitch,Civil Lines,RRL Trends Azamgarh,Azamgarh Civil Lines
TCH1,North,Uttarakhand,Dehradun,Trends,Fitch,"Jakhan, Rajpur Road",RRL Trends Dehradun,Dehradun Rajpur Rd
TA1W,North,Uttar Pradesh,Lucknow,Trends,Fitch,TB-Lucknow Sahara Mall,RRL Trends SAHARA MALL LUCKNOW,Lucknow TB BB Lucknow Sahara Mall
T957,North,Uttarakhand,Rishikesh,Trends,Fitch,Railway Road,RRL Trends Rishikesh,Rishikesh Railway Rd
T827,North,Uttar Pradesh,Pratapgarh,Trends,Fitch,Kishori Sadan,RRL Trends Pratapgarh UP,Pratapgar BeladeviRd
T824,North,Uttar Pradesh,Agra,Trends,Fitch,Sikandara Bodla Road,RRL Trends Sector 13 Agra,Agra Sikandra Rd
T815,North,Uttar Pradesh,Farrukhabad,Trends,Fitch,Thandi Sadak,RRL Trends Near V-Mart Farukha,Farukhabd ITI Towers
T779,North,Uttar Pradesh,Bahraich,Trends,Fitch,Civil Lines,RRL Trends BAHRAICH,Bahraich Civil Lines
T778,North,Uttar Pradesh,Etawah,Trends,Fitch,"Station Road,Patna House",RRL Trends Shastri Chauraha Et,Etawah Station Road
T664,North,Uttar Pradesh,Lakhimpur,Trends,Fitch,"Near Bus Stand,Lakhimpur",RRL Trends Lakhimpur UP,Lakhimpur BahadurNgr
T628,North,Uttar Pradesh,Varanasi,Trends,Fitch,Pandeypur,RRL Trends Varanasi,Varanasi Pandeypur
T623,North,Uttar Pradesh,Varanasi,Trends,Fitch,"Babylon Heights, Mehmoorganj",RRL Trends Mehmoorganj Varanas,Varanasi Tulsipur
T526,North,Uttar Pradesh,Meerut,Trends,Fitch,Garh Road,RRL Trends Meerut UP,Meerut Garh Road
FR3H,North,Uttar Pradesh,Lucknow,Trends,Fitch,LUCKNOW-QAISER BAGH CIRCUS,TV Lucknow Qaiser Bagh Cir,Lucknow TV FBB Lucknow Qaiser Bagh Circus
8345,North,Uttar Pradesh,Kanpur,Trends,Regular,Z Square Kanpur,RRL Trends Z-Square Mall Kanpu,Kanpur Z Square Mall
8329,North,Uttarakhand,Haldwani,Trends,Regular,"Tirupati Tower, Haldwani",RRL Trends Tirupathi Tower Hal,Haldwani Tirupat Twr
8131,North,Uttarakhand,Haridwar,Trends,Regular,Pentagon Mall,RRL Trends Pentagon Mall Harid,Hardwar PentagonMall
8130,North,Uttarakhand,Dehradun,Trends,Regular,Kapoor Tower,RRL Trends Kapoor Towers Dehra,Dehradun Kapoor Twr
8125,North,Uttar Pradesh,Gorakhpur,Trends,Regular,AD Gold,RRL Trends Bank Road Gorakhpur,Gorakhpur Bank Road
8122,North,Uttar Pradesh,Bareilly,Trends,Regular,Phoenix Mall Bareily,RRL Trends Phoenix Mall Bareil,Bareilly Phoenix Mal
8120,North,Uttar Pradesh,Agra,Trends,Regular,"COSMOS MALL, AGRA",RRL Trends Cosmos Mall Agra,Agra Cosmos Mall
5988,North,Uttar Pradesh,Saharanpur,Trends,Regular,Delhi Road,RRL Trends Sharanpur,Saharanpur Delhi Rd
5808,North,Uttar Pradesh,Rae Bareli,Trends,Regular,Abid Plaza Rae Bare,RRL Trends Abid Plaza Rae Bare,RaeBareli Abid Plaza
8121,North,Uttar Pradesh,Allahabad,Trends,Regular,SP Marg,RRL Trends Sardar Patel Marg A,Allahabad SP Marg
5857,North,Uttar Pradesh,Gorakhpur,Trends,Regular,"Medical College Road, Gorakhpur",RRL Trends Medical College Rd,Gorakhpur Medical Rd
5747,North,Uttar Pradesh,Jhansi,Trends,Regular,"Hotel Pujan, Jhansi",RRL Trends Jhansi UP,Jhansi Hotel Pujan
TG55,North,Uttar Pradesh,Mirzapur,Trends,Fitch,Gems Mall,RRL Trends Shivala Mahant Mirz,Mirzapur Gems Mall
TDT1,North,Uttar Pradesh,Shamli,Trends,Fitch,VV Inter College Road,RRL Trends Shamili,Shamli Opp Naya Bazaar
TDE9,North,Uttar Pradesh,Gorakhpur,Trends,Fitch,"Taramandal Road, Budh Vihar",RRL Trends Gorakhpur Tara Mand,Gorakhpur Taramandal Road Budh Vihar
T9TX,SOUTH,Kerala,Karamana,Trends,Trends 3.0,"Javad Squre, Kunjamudu Road",RRL Trends Thiruvananthapuram,Karamana Javad Squre Thiruvananthapuram
TJX5,North,Uttar Pradesh,Mahoba,Trends,Fitch,"Opp Bus Stand, Nayapura",RRL Trends Mahoba,Mahoba Nayapura
TCV2,North,Uttar Pradesh,Lucknow,Trends,Azorte,"Patrakarpuram, Gomati Nagar",RRL Trends Lucknow,Lucknow Patrakarpura
5940,North,Uttar Pradesh,Moradabad,Trends,Regular,Moradabad UP,RRL Trends Moradabad UP,Moradabad Kanth Rd
TST4,SOUTH,Karnataka,Bangalore,Trends,Fitch,Kengeri,RRL TRENDS Kengeri Bangalore,Bangalore Kengeri
TH81,North,Uttarakhand,Haridwar,Trends,Fitch,Ranipur More,RRL Trends Haridwar,Haridwar Ranipur Rd
TGC9,North,Uttar Pradesh,Kannauj,Trends,Fitch,"Makrand Nagar, Kannauj",RRL Trends Kannauj,Kannauj Makrand Nagar
5880,North,Uttar Pradesh,Allahabad,Trends,Regular,Old Katra,Allahabad Katra Rd,Allahabad Katra Rd
TZ85,North,Uttar Pradesh,Sultanpur,Trends,Fitch,Dariyapur Road,RRL Trends Sultanpur,Sultanpur Dariyapur Road
TL59,North,Uttar Pradesh,Mughalsarai,Trends,Fitch,IP Mughal Mall,RRL Trends Mughalsarai,Mughalsarai Mughal M
TR52,North,Uttar Pradesh,Lucknow,Trends,Fitch,Crown Mall,Trends Crown Mall Lucknow,Lucknow Crown Mall
9532,South,Kerala,Perinthalmanna,Trends,Fitch,UC Plaza - Nilambur Road,RRL Trends Perithalmanna,Malapuram UC Plaza
9647,South,Kerala,Manjery,Trends,Fitch,Mallapuram Road,RRL Trends Malappuram Manjeri,Manjery Mallapuram Road
TH98,South,Karnataka,Gadag,Trends,Fitch,Mulagund Road,RRL Trends Gadag,Gadag Mulgund Road
TTY0,South,Karnataka,Haveri,Trends,Fitch,"Trends PB Road, Haveri",RRL Trends Haveri,Haveri PB road
TX4B,North,Uttar Pradesh,Ghaziabad,Trends,Fitch,Trends Shipra Mall Indirapuram,RRL Trends Ghaziabad Shipra Ma,Ghaziabad Shipra Mall Indirapuram
TEB2,West,Madhya Pradesh,Guna,Trends,Fitch,"Trends Maheshwari Sadan, Guna",RRL Trends Guna,Guna Maheshwari Sadan
TM14,West,Chhattisgarh,Raipur,Trends,Fitch,"Opp. Rajkumar Collage, G.E.Road",Trends Raipur,Raipur Opp Rajkumar College GE Road
TN21,West,Chhattisgarh,Raipur,Trends,Fitch,Ambuja City Centre,Trends City Centre Raipur,Raipur Centre Mall
8022,West,Chhattisgarh,Bilaspur,Trends,Fitch,Rama Magneto,RRL Trends Rama Magneto Mall B,Bilaspur MagnetoMall
R218,West,Chhattisgarh,Korba,Trends,Fitch,Palm Mall,RRL Palm Mall Korba Chhatisgar,Korba Palm Mall
T86W,West,Chhattisgarh,Dhamtari,Trends,Fitch,"Trends Beside Shri Balaji Plaza, Jagdalpur Road",RRL Trends Dhamtari,Dhamtari Beside Shri Balaji Plaza Jagdalpur Rd
TAL2,West,Madhya Pradesh,Sehore,Trends,Fitch,Trends Sehore,RRL TRENDS Bhopal Naka Sehore,Sehore
TAVA,West,Madhya Pradesh,Bhind,Trends,Fitch,Trends Bhind,RRL Trends Shubhash Chourha Bh,Bhind Trends
TCG8,West,Madhya Pradesh,Neemuch,Trends,Fitch,"Patel Plaza, Tagore Marg",RRL Trends Neemuch,Neemuch Fewara Chowk
TCX9,West,Chhattisgarh,Jagdalpur,Trends,Fitch,"Binaka Mall, Chitrakoot Road",RRL Trends Jagdalpur,Jagdalpur Binaka Mal
TIR1,West,Madhya Pradesh,Mandla,Trends,Fitch,Jabalpur Road,RRL Trends Mandla,Mandla Jabalpur Road
TZ82,West,Madhya Pradesh,Dhar,Trends,Fitch,"Shreenath Residency, Trimuti Nagar",RRL Trends DHAR,Dhar Trimuti Nagar
T1AK,West,Madhya Pradesh,Dewas,Trends,Fitch,Trends Dewas,RRL Trends Dewas,Dewas Vishal Megamart
TZ59,West,Chhattisgarh,Raigarh,Trends,Fitch,"Jindal Road, Lakshmipur",RRL Trends RAIGARH,Raigarh Jindal Road Lakshmipur
TWQP,West,Chhattisgarh,Bilaspur,Trends,Fitch,"Trends Sarkanda, Bilaspur",RRL Trends Sarkanda Bilaspur,Bilaspur Sarkanda
TZ83,West,Chhattisgarh,Raipur,Trends,Fitch,"Pujari Chambers, Pachpedi Naka",RRL Trends RAIPUR,Raipur Pujari Chambr
8030,West,Gujarat,Ahmedabad,Trends,Fitch,10 Acres,Ahmedabd 10 Acre,Ahmedabd 10 Acre
8350,West,Gujarat,Vadodara,Trends,Fitch,Relinace Mall Baroda,RTL Trends AIMS Mall Vadodara,Vadodara RIL Mall
TNP1,West,Gujarat,Ankleshwar,Trends,Fitch,Ganesh Plaza,Anklesvar GanesPalza,Anklesvar GanesPalza
T1DM,West,Gujarat,Gandhinagar,Trends,Fitch,"Trends The Spenta, Rialto Gandhinagar",RRL Trends Vavol The Spenta Ri,Gandhinagar The Spenta Rialto
TAPR,West,Gujarat,Bhuj,Trends,Fitch,RRL Trends City Mall Bhuj,RRL Trends City Mall Bhuj,Bhuj City Mall
TAQE,West,Gujarat,Ahmedabad,Trends,Fitch,Trends City Gold Center,RRL Trends City Gold Center Ah,Ahmedabad City Gold Center
TASO,West,Gujarat,Ahmedabad,Trends,Fitch,Trends Hathijan - Shalin Circle,RRL Trends Shalin Square Ahmed,Ahmedabad Hathijan Shalin Circle
TAWB,West,Gujarat,Surat,Trends,Fitch,Trends Unique Square,RRL Trends Unique Square Surat,Surat Unique Square
TH0N,West,Gujarat,Surat,Trends,Fitch,Trends Varacha Mall Surat,RRL Trends Varachcha Surat,Surat Varacha Mall
TLJ8,West,Gujarat,Gandhinagar,Trends,Fitch,Surya Monolith,RRL Trends Gandhinagar Monolit,Gandhinagar Monolith
TNO6,West,Gujarat,Morbi,Trends,Fitch,Sky Mall,RRL Trends Morbi,Morbi Mallsanala Rd
TPW6,West,Gujarat,Valsad,Trends,Fitch,"Shivam Infinity, Abrama Road",RRL Trends Valsad,Valsad Shivam Infinite
TSO6,West,Gujarat,Surat,Trends,Trends 3.0,Trends VIP road,RRL Trends Surat VIP Road,Surat VIP road
TSQ8,West,Gujarat,Ahmedabad,Trends,Fitch,Trends Solaris Business,RRL Trends Solaris Business Hu,Ahmedabad Solaris Business
TSS3,West,Gujarat,Ahmedabad,Trends,Fitch,Trends Suvas Scala Ahmedab,RRL Trends Suvas Scala Ahmedab,Ahmedabad Suvas Scala
TW58,West,Gujarat,Bhuj,Trends,Fitch,Trends Seven Sky Mall Bhuj,RRL Trends Bhuj Seven Sky Mall,Bhuj FBB Bhuj Seven Sky Mall
TWQR,West,Gujarat,Gujarat,Trends,Fitch,"Trends Fortune Landmark, Vapi",RRL Trends Fortune Landmark VA,Vapi Fortune Landmark Vapi
TWQS,West,Gujarat,Ahmedabad,Trends,Fitch,Trends Kankubag Mall,RRL Trends Kankubag Mall,Ahmedabad Kankubag Mall
TX1J,West,Gujarat,Ahmedabad,Trends,Fitch,Trends Vishala Supreme - Nikol,RRL Trends VISHALA SUPREME II,Ahmedabad Vishala Supreme Nikol
TX1O,West,Gujarat,Ahmedabad,Trends,Fitch,"Trends Sharan Circle Hub-Zudal Circle,",RRL Trends Sharnam Circle Ahme,Ahmedabad Sharan Circle Hub Zudal Circle
TX1S,West,Gujarat,Himmatnagar,Trends,Fitch,Trends Krishna Business Hub,Reliance Retail Limited,Himmatnagar Krishna Business Hub
TX1T,West,Gujarat,Palanpur,Trends,Fitch,Trends Abu Highway,Reliance Retail Limited,Palanpur Abu Highway
TX3P,West,Gujarat,Ahmedabad,Trends,Fitch,"Trends Nehru Nagar, Cross Road",RRL Trends Nehrunagar Stratum,Ahmedabad Nehru Nagar Cross Road
TX3R,West,Gujarat,Mehsana,Trends,Fitch,Trends Shree Kailash Sagar Plaza Mehsana,RRL Trends Mehsana Kailash Sag,Mehsana Shree Kailash Sagar Plaza
TX47,West,Gujarat,Surat,Trends,Fitch,"RIL Mall, Adajan, Surat",RRL Trends Surat Adajan,Surat RIL Mall Adajan
TZZW,West,Gujarat,Rajkot,Trends,Fitch,Trends Nakshatra-9,RRL Trends Nakshatra-9,Rajkot Nakshatra 9
TFV0,West,Gujarat,Junagadh,Trends,Fitch,"Vision Point, Zanjharda Cross Road",RRL Trends Junagadh,Junagadh Zanjhard Rd
TV62,West,Gujarat,Ahmedabad,Trends,Fitch,The Ahmedabad Advance Mill,RRL Trends Ahmedabad,Ahmedabad Ops BAPS
1885,West,Maharashtra,Pune,Trends,Fitch,"Seasons Mall,Pune",RRL Trends Seasons Mall Hadap,Pune Seasons Mall
5992,West,Maharashtra,Nanded,Trends,Fitch,"J K Arcade, Old Modha",RRLTrends JK Arcade Nanded,Nanded JK Arcade
8086,West,Maharashtra,Nagpur,Trends,Fitch,Empress Mall,RRL Trends Empress City Mall N,Nagpur Empress City
9539,West,Maharashtra,Chandrapur,Trends,Fitch,"Congress Bhavan, Chandrapur",RRL Trends Chandrapur,Chandrapur Azad Grdn
T147,West,Maharashtra,Parbhani,Trends,Fitch,Trends T&K Mall,RRL Trends Parbhani MH,Parbhani T & K Mall
TE46,West,Maharashtra,Wardha,Trends,Fitch,Varco Pinnacle,RRL Trends Varco Pinnacle Ward,Wardha Shivaji Chowk
TKY1,West,Maharashtra,Amravati,Trends,Fitch,Prabhat Square,RRL Trends Amravati Rachanashr,Amravati Prabhat Square
TLK2,West,Maharashtra,Nagpur,Trends,Fitch,"The West High Complex ,Dharampeth",RRL Trends Nagpur Dharampeth,Nagpur The West High Complex Dharampeth
TML7,West,Maharashtra,Gadchiroli,Trends,Fitch,"Vision Mall,Bus Stand,Dhanora Road",RRL Trends Gadchiroli,Gadchiroli Vision Mall Bus Stand
TN61,West,Maharashtra,Beed,Trends,Fitch,"Vardhman Chamber, Nr Bus Stand, Beed",RRL Trends BEED,Beed Jalana Rd
TOH0,West,Maharashtra,Yavatmal,Trends,Fitch,"Westend Mall, Yavatmal",RRL Trends Yavatmal,Yavatmal Westend Mall
TSO2,West,Maharashtra,Buldhana,Trends,Fitch,"Bhonde Sarkar Square, Jail Road",RRL Trends Buldana,Buldhana Bhonde Sarkar Square Jail Road
TV29,West,Maharashtra,Amravati,Trends,Fitch,Landmark Mall,RRL Trends Amravati,Amravati Landmark Mall
TWOX,West,Maharashtra,Chandrapur,Trends,Fitch,TS City Arcade,Rrl Trends Chandrapur,Chandrapur City Arcade
TX1N,West,Maharashtra,Bhandara,Trends,Fitch,"Trends GMK Mall, Santaji Nagar Bhandara",RRL Trends Bhandara GMK Mall,Bhandara GMK Mall Santaji Nagar
TEG3,West,Maharashtra,Mumbai,Trends,Fitch,"Shagun Insignia, Sector-19, Ulwe",RRL Trends Mumbai Ulwe,Mumbai Shagun Insignia Ulwe
TJK3,West,Maharashtra,Mumbai,Trends,Fitch,"Silicon Tower, Badlapur",RRL Trends Silicon Tower Badla,Mumbai Silicon Tower Badlapur
TE90,West,Maharashtra,Nagpur,Trends,Fitch,Trillium Mall-Seamless,RRL Trends Trillium Mall Nagpu,Nagpur Trillium Mall
TSL7,West,Maharashtra,Akola,Trends,Fitch,"Trends Jain,Akola",RRL Trends Akola,Akola Jain Trends
5782,West,Maharashtra,Mumbai,Trends,Fitch,Experia Mall,RRL Trends Xperia Dombivali,Mumbai XperiaDmbvali
5943,West,Maharashtra,Mumbai,Trends,Fitch,"Infinity Malad - FITCH, Mumbai",RRL Trends Infinity Mall Malad,Mumbai InfinityMalad
8080,West,Maharashtra,Mumbai,Trends,Fitch,Bandra,RRL Trends Main Street Mall Mu,Mumbai Bandra HillRd
8082,West,Maharashtra,Mumbai,Trends,Fitch,D Victoria,RRL Trends D Victoria Mall Mum,Mumbai RIL DVictoria
8083,West,Maharashtra,Mumbai,Trends,Fitch,"Market City, Kurla",Mumbai MktCity Kurla,Mumbai MktCity Kurla
8085,West,Maharashtra,Mumbai,Trends,Fitch,Maxus Mall,RRL Trends Maxus Mall Bhayand,Mumbai Maxus Mall
8286,West,Maharashtra,Mumbai,Trends,Fitch,"Viva City  , Thane",RRL Trends Viva Mall Thane Mum,Mumbai Viviana Thane
8384,West,Maharashtra,Mumbai,Trends,Fitch,Acme Mall,RRL Trends Zolo Acme Mall Sant,Mumbai TIMS AcmeScru
9567,West,Maharashtra,Mumbai,Trends,Fitch,Seawoods Grand Central (L&T),RRL Trends L & T Seawood Grand,Mumbai L&T Seawod Gr
9591,West,Maharashtra,Mumbai,Trends,Fitch,"Amisha Empire, Mira Road",Mumbai Amisha Empire Mira Road,Mumbai Amisha Empire Mira Road
9626,West,Maharashtra,Mumbai,Trends,Fitch,"Toyota Showroom, Andheri East",Mumbai SangamAndheri,Mumbai SangamAndheri
FR3W,West,Maharashtra,Mumbai,Trends,Fitch,TV-Mumbai-Dadar-Star Mall,TV Mumbai Dadar Star Mall,Mumbai TV FBB DADAR STAR MALL
T85Y,West,Maharashtra,Mumbai,Trends,Fitch,Trends Triveni Grande Kalyan West,RRL Trends Kalyan Triveni Gran,Mumbai Triveni Grande Kalyan West
TAX1,West,Maharashtra,Navi Mumbai,Trends,Fitch,TY Navi Mumbai-Inorbit Malls,RRL Trends HYPERCITY-INORBIT M,Navi Mumbai TB Hypercity Inorbit Malls
TDN6,West,Maharashtra,Mumbai,Trends,Fitch,"Metro Junction Mall, Kalyan",RRL Trends Mumbai Kalyan,Mumbai Junction Mall
TEW1,West,Maharashtra,Mumbai,Trends,Fitch,"Red Bricks Landmark, Virar West",Mumbai Red Bricks Landmark Virar West,Mumbai Red Bricks Landmark Virar West
TSQ3,West,Maharashtra,Mumbai,Trends,Fitch,"Inorbit Mall, Mumbai",RRL Trends Inorbit mall,Mumbai Inorbit Mall Malad
TX3X,West,Maharashtra,Maharashtra,Trends,Fitch,"Trends Manukrupa Building, Virar",RRL Trends Virar Manukrupa,Virar Manukrupa Building Virar
1934,West,Goa,Panaji,Trends,Fitch,Virani Sales,RRL Trends Virani Sales Goa,Virani Sales Goa
5684,West,Maharashtra,Pune,Trends,Fitch,Sinhagad Road,RRL Trends Sinhagad Rd Pune,Pune Sinhagad Rd
5806,West,Maharashtra,Latur,Trends,Fitch,"Rangolee, Latur",RRL Trends Rangoli Latur,Latur Rangoli Mall
5932,West,Maharashtra,Satara,Trends,Fitch,Radhika Road-Fitch,RRL Trends Satara,Satara Radhika Road
8078,West,Maharashtra,Aurangabad,Trends,Fitch,Prozone,Aurngabad Prozone Mall,Aurngabad Prozone Mall
8079,West,Maharashtra,Kolhapur,Trends,Fitch,Tapadia,RRL Trends Tapadia Mall Kolhap,Kolhapur Tapadia Mal
8087,West,Maharashtra,Nashik,Trends,Fitch,City Centre Nasik,RRL Trends City Center Mall Na,Nasik CityCentre Mal
8088,West,Maharashtra,Pune,Trends,Fitch,Market City Pune,RRL Trends Phoenix Market City,Pune Phnx MarketCity
8089,West,Maharashtra,Pune,Trends,Fitch,Amanora,Pune Amanora Mall,Pune Amanora Mall
8090,West,Maharashtra,Pune,Trends,Fitch,"RIL Mall , Erandwane",RRL Trends Erandwane Pune Stor,Pune RIL Mal Erandwa
8383,West,Maharashtra,Pune,Trends,Fitch,Aundh Mall,RRL Trends Zolo Westend Mall A,Pune RIL Mall Aundh
8390,West,Maharashtra,Pune,Trends,Fitch,Almonte-Khardi Bypas,RRL Trends Zolo Almonte Pune,Pune TIMS Almonte
9618,West,Maharashtra,Baramati,Trends,Fitch,"Sikachi Icon, Baramathi",RRL Trends Baramati,Baramati Sikachi
FR3Q,West,Maharashtra,Pune,Trends,Fitch,TV Westend Mall,TV Pune Westend Mall,Pune TV FBB Westend Mall
FR3V,West,Goa,Margaon,Trends,Fitch,TV-Margaon-Cine Vishant Complex-Aquem,TV Margaon Cine Vishant Co,Margao TV FBB Margaon Cine Vishant Complex Aquem
T1BG,West,Maharashtra,Solapur,Trends,Fitch,Trends Emporium,RRL Trends Emporium,Solapur Hotigi Road
T9CV,West,Maharashtra,Aurangabad,Trends,Fitch,Trends Vedanta,RRL Trends Aurangabad Vedanta,Aurangabad Vedanta
T9LI,West,Maharashtra,Pune,Trends,Fitch,Trends Phoenix Mall of Millennium Pune,RRL Trends Pune Phoenix Mall o,Pune Mall Of Millenia Wakad
T17V,West,Maharashtra,Pune,Trends,Fitch,Trends Pimple Nilakh Pune,RRL Trends Pune Pimple Nilakh,Pune Pimple Nilakh
T24X,West,Maharashtra,Pune,Trends,Fitch,Trends Bavdhan Haveli,RRL Trends Pune Pashan Road,Pune Bavdhan Kundan Auto
TATE,West,Maharashtra,Pune,Trends,Fitch,"Trends Terminal One, Hinjewadi",RRL Trends Terminal One Pune,Pune Terminal One Hinjewadi
TDH0,West,Maharashtra,Pune,Trends,Fitch,"Aishwaryam One, Chinchwad",RRL Trends Pune Aishwaryam One,Pune Aishwaryam One Chinchwad
THA3,West,Maharashtra,Alibaug,Trends,Fitch,Pacific Mall,RRL Trends Alibaug Pacific Mal,Alibaug Pacific Mall
TOH1,West,Maharashtra,Ahmednagar,Trends,Fitch,"Lodha One, Sattha Colony, Bhavani Nagar",RRL Trends Ahmednagar,Ahmednagar Lodha One Sattha Colony Bhavani Nagar
TS22,West,Maharashtra,Miraj,Trends,Fitch,"Emmanule Spaces, Miraj",Trends Miraj,Miraj Emmanul Spaces
TSL8,West,Maharashtra,Nashik,Trends,Fitch,"Indira Nagar, Ashadeep Complex",RRL Trends Nashik Ashadeep Com,Nashik Indira Nagar Ashadeep Complex
TSM4,West,Maharashtra,Nashik,Trends,Fitch,Star Zone Mall,RRL Trends Nashik Star Zone,Nashik Star Zone Mall
TSN7,West,Goa,Dabolim,Trends,Fitch,"Prabhu`s Signature, Near Airport",Dabolim Prabhus Signature,Dabolim Prabhus Signature
TSO8,West,Maharashtra,Mumbai,Trends,Fitch,"Capital Mall, Vasai Lakeshore",RRL Trends Vasai Lakeshore,Mumbai Capital Mall
TSS5,West,Maharashtra,Latur,Trends,Fitch,Trends Ausa Road Latur,RRL Trends Latur,Latur Trends Latur Ausa Road
TST5,West,Maharashtra,Pune,Trends,Fitch,Trends The Galleria Pimpri Chinchwad,RRL Trends Haveli Pune,Pune Moshi Spine Road
TX4H,West,Maharashtra,Nandurbar,Trends,Fitch,Trends Nankani Complex Nandurbar,RRL Trends Nandurbar Nankani C,Nandurbar Nankani Complex
TXXO,West,Maharashtra,Dhule,Trends,Fitch,"Trends MG Road & 3 Batti Chowk, Prashant Theater",RRL Trends Dhule,Dhule MG Road & 3 Batti Chowk Prashant Theater
8091,West,Maharashtra,Sangli,Trends,Fitch,SFC Mall,RRL Trends SFC Mall Sangali,Sangli SFC Mall
TX18,West,Maharashtra,Pune,Trends,Fitch,"RIL Mall, Elpro, Pimpri",RRL Trends ELPRO PUNE,Pune RIL Mall Elpro
TTL3,West,Maharashtra,Mumbai,Trends,Fitch,"R City Mall, Ghatkopar",RRL Trends Mumbai Ghatkopar R,Mumbai R City Mall Ghatkopar
TXP3,West,Maharashtra,Jalgaon,Trends,Fitch,Trends Nayantara Arcade,RRL Trends Jalgaon,Jalgaon Nayantara Arcade
TH1J,West,Maharashtra,Ahmednagar,Trends,Fitch,Trends Gaikwad Avenue Ahmednagar,RRL Trends Gaikwad Avenue Ahme,Ahmednagar Gaikwad Avenue
8357,West,Maharashtra,Aurangabad,Trends,Fitch,RIL Gharkheda,Aurngabad RIL Garkh,Aurngabad RIL Garkh
